scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr
Motilal Oswal Nasdaq 100 FOF – Direct Growth,500,500,0.1,3378,4,Swapnil Mayekar,1.18,-,22.3,-,0.77,6,Motilal Oswal Mutual Fund,0,Other,FoFs Overseas,-6.2,21.4,
Motilal Oswal Nifty 50 Index Fund,500,500,0.14,234,3,Swapnil Mayekar,3.48,-0.6,16.66,0.99,1.31,6,Motilal Oswal Mutual Fund,4,Other,Index Funds,0.1,26,
Motilal Oswal Nifty 500 Index Fund,500,500,0.4,372,4,Swapnil Mayekar,3.05,-0.81,16.62,0.99,1.34,6,Motilal Oswal Mutual Fund,3,Other,Index Funds,-1.2,26.7,
Motilal Oswal Nifty Bank Index Fund,500,500,0.21,332,4,Swapnil Mayekar,2.02,0,25.4,1,0.95,6,Motilal Oswal Mutual Fund,2,Other,Index Funds,10.8,25,
Motilal Oswal Nifty Midcap 150 Index Fund,500,500,0.22,644,4,Swapnil Mayekar,3.32,-1.33,18.42,1.03,1.58,6,Motilal Oswal Mutual Fund,3,Other,Index Funds,4.8,33.7,
Motilal Oswal Nifty Next 50 Index Fund,500,500,0.33,118,3,Swapnil Mayekar,1.67,-4.95,18,0.98,0.95,6,Motilal Oswal Mutual Fund,2,Other,Index Funds,-5.9,21.8,
Motilal Oswal Nifty Smallcap 250 Index Fund,500,500,0.31,312,4,Swapnil Mayekar,2.88,-1.24,21.03,0.99,1.52,6,Motilal Oswal Mutual Fund,2,Other,Index Funds,-4.8,37.1,
Motilal Oswal Ultra Short Term Fund,500,500,0.58,101,10,Rakesh Shetty,-0.2,1.32,0.39,1.01,-0.09,1,Motilal Oswal Mutual Fund,1,Debt,Ultra Short Duration Funds,4.7,3.9,1.8
Navi 3 In 1 Fund,500,1000,0.34,15,10,Aditya Mulki,3.29,0.91,15.51,0.89,1.41,6,Navi Mutual Fund,2,Hybrid,Multi Asset Allocation Mutual Funds,0.2,32.6,12.4
Navi ELSS Tax Saver Fund,500,500,0.4,56,7,Aditya Mulki,-,-,-,-,-,6,Navi Mutual Fund,2,Equity,ELSS Mutual Funds,1.3,23.4,10.5
Navi Equity Hybrid Fund,500,10,0.42,82,5,Aditya Mulki,2.72,1.73,11.25,0.77,1.41,6,Navi Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,3.2,19.7,
Navi Flexi Cap Fund,500,10,0.43,202,5,Aditya Mulki,3.29,0.91,15.51,0.89,1.41,6,Navi Mutual Fund,3,Equity,Flexi Cap Funds,2.1,25.9,
Navi Large & Midcap Fund,500,10,0.35,234,7,Aditya Mulki,3.12,5.26,15.37,0.85,1.61,6,Navi Mutual Fund,3,Equity,Large & Mid Cap Funds,1.6,28.7,12.7
Navi Large Cap Equity Fund,500,1000,0.31,91,10,Aditya Mulki,3.12,5.26,15.37,0.85,1.61,6,Navi Mutual Fund,2,Equity,Large Cap Mutual Funds,0.2,32.6,12.4
Navi Regular Savings Fund,500,10,0.39,26,10,Surbhi Sharma,2.69,1.01,3.3,0.5,1.38,4,Navi Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,4.4,8.4,6.5
Navi Ultra Short Term Fund,500,1000,0.73,11,10,Surbhi Sharma,2.45,1.07,0.36,0.59,0.79,2,Navi Mutual Fund,1,Debt,Ultra Short Duration Funds,1.7,32.4,13.3
Nippon India Arbitrage Fund,100,5000,0.21,9234,10,Anand Devendra Gupta,1.67,1.74,0.7,0.61,1.31,1,Nippon India Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.7
Nippon India Balanced Advantage Fund,100,100,0.65,6593,10,Amar Kalkundrikar,3.76,3.1,8.53,0.56,1.58,5,Nippon India Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.3,17.1,10.1
Nippon India Banking & PSU Debt Fund,100,5000,0.33,4008,8,Pranay Sinha,1.84,5.1,1.92,2.27,1.08,3,Nippon India Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.2,6.9,7.4
Nippon India Banking&Financial Services-DirGrowth,100,5000,1.32,3826,10,Vinay Sharma,2.22,6.01,24.98,0.93,1.15,6,Nippon India Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,8.8,28.3,9.5
Nippon India Consumption Fund,100,5000,1.76,312,10,Amar Kalkundrikar,4.22,8.77,14.85,0.76,1.76,6,Nippon India Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,12.1,30.6,14.6
Nippon India Corporate Bond Fund,100,5000,0.32,1701,10,Vivek Sharma,2.64,2.14,1.41,0.47,1.61,3,Nippon India Mutual Fund,5,Debt,Corporate Bond Mutual Funds,5.1,6.8,7
Nippon India Credit Risk Fund,100,500,1,927,10,Sushil Budhia,3.84,6.08,3.87,0.9,1.26,5,Nippon India Mutual Fund,2,Debt,Credit Risk Funds,4.8,9.5,4.4
Nippon India Dynamic Bond Fund,100,5000,0.28,3340,10,Pranay Sinha,0.46,0.97,4.28,2,0.36,3,Nippon India Mutual Fund,1,Debt,Dynamic Bond,3.6,5.6,6.7
Nippon India Equity Hybrid Fund,100,500,1.31,2764,10,Meenakshi Dawar,3.57,4.96,12.52,0.83,1.62,5,Nippon India Mutual Fund,1,Hybrid,Aggressive Hybrid Mutual Funds,4.2,24.3,5.9
Nippon India Equity Savings Fund,100,5000,0.69,178,8,Sushil Budhia,3.22,2.71,6.41,0.89,1.41,2,Nippon India Mutual Fund,1,Hybrid,Equity Savings Mutual Funds,3.9,12.2,1.3
Nippon India Floating Rate Fund,100,5000,0.27,7288,10,Anju Chhajer,2.66,4.77,1.72,1.84,1.34,3,Nippon India Mutual Fund,3,Debt,Floater Mutual Funds,4.5,6.9,7.1
Nippon India Focused Equity Fund,100,5000,1.2,5929,10,Vinay Sharma,3.5,2.01,20.2,1.12,1.4,6,Nippon India Mutual Fund,3,Equity,Focused Funds,3.2,33,11.9
Nippon India Gold Savings Fund,100,100,0.19,1447,10,Mehul Dama,1.03,-0.52,14.76,1.04,0.46,5,Nippon India Mutual Fund,2,Other,FoFs Domestic,14.2,11.7,13.1
Nippon India Growth Fund,100,100,1.09,13409,10,Rupesh Patel,3.62,2.25,16.8,0.91,1.74,6,Nippon India Mutual Fund,4,Equity,Mid Cap Mutual Funds,5.6,32.4,14.5
Nippon India GSF – Direct Growth,100,5000,0.63,1158,10,Pranay Sinha,0.57,0.57,2.98,0.69,0.45,2,Nippon India Mutual Fund,3,Debt,Gilt Mutual Funds,4.4,5.5,8.3
Nippon India Hybrid Bond Fund,100,5000,1.26,716,10,Sushil Budhia,4.19,3.09,2.5,0.33,2.17,6,Nippon India Mutual Fund,1,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.6,3.4
Nippon India Income Fund,100,5000,0.58,238,10,Vivek Sharma,0.6,1.14,3.05,1.43,0.5,2,Nippon India Mutual Fund,3,Debt,Medium to Long Duration Funds,6,5.8,7.9
Nippon India Index Fund,100,5000,0.15,374,10,Mehul Dama,3.23,-1.01,16.9,1,1.28,6,Nippon India Mutual Fund,4,Other,Index Funds,1.5,25.6,13
Nippon India Index Fund,100,100,0.2,638,10,Mehul Dama,3.33,-1.48,16.64,0.99,1.26,6,Nippon India Mutual Fund,3,Other,Index Funds,0.9,26,11.9
Nippon India Large Cap Fund,100,100,1.01,12524,10,Sailesh Raj Bhan,3.01,2.97,17.74,1,1.44,6,Nippon India Mutual Fund,3,Equity,Large Cap Mutual Funds,8.4,29.5,12.6
Nippon India Liquid Fund,100,1000,0.2,25358,10,Anju Chhajer,4.53,1.5,0.39,0.83,1.01,2,Nippon India Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.4,5.4
Nippon India Low Duration Fund,100,500,0.37,6232,10,Anju Chhajer,2.8,2.56,0.98,0.58,1.82,2,Nippon India Mutual Fund,4,Debt,Low Duration Funds,5.3,6.2,6.5
Nippon India Money Market Fund,100,500,0.21,10718,10,Anju Chhajer,5.44,2.79,0.56,1.21,2.11,3,Nippon India Mutual Fund,5,Debt,Money Market Funds,5.7,5.3,6.3
Nippon India Multi Cap Fund,100,100,1.12,14091,10,Sailesh Raj Bhan,3.33,6.54,19.22,0.99,1.55,6,Nippon India Mutual Fund,0,Equity,Multi Cap Funds,10.7,33.7,13.2
Nippon India Nifty Next 50 Junior BeES FoF-Dir Growth,100,100,0.02,148,4,Mehul Dama,1.75,-4.27,18.26,0.99,0.99,6,Nippon India Mutual Fund,2,Other,FoFs Domestic,-5.8,21.8,
Nippon India Overnight Fund,100,100,0.08,8861,4,Anju Chhajer,0.4,0.63,0.35,0.46,0.07,1,Nippon India Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
Nippon India Pharma Fund,100,5000,1.17,4267,10,Sailesh Raj Bhan,2.09,2.71,20.6,0.95,0.99,6,Nippon India Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-7,24.7,15.6
Nippon India Power & Infra Fund,100,5000,1.58,1871,10,Sanjay Doshi,3.52,9.72,19.09,0.7,1.67,6,Nippon India Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,20.4,37.2,10.1
Nippon India Quant Fund,100,5000,0.54,34,10,Ashutosh Bhargava,2.91,2.11,14.96,0.84,1.47,6,Nippon India Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,5,26.9,11.9
Nippon India Retirement Fund,500,500,0.85,172,8,Pranay Sinha,1.38,-0.72,4.79,0.61,0.76,4,Nippon India Mutual Fund,2,Solution Oriented,Retirement Funds,4,8.4,7.4
Nippon India Retirement Fund,500,500,1.03,2233,8,Pranay Sinha,3.35,-0.56,16.26,0.95,1.34,6,Nippon India Mutual Fund,1,Solution Oriented,Retirement Funds,1.3,25.3,6.7
Nippon India Short Term Fund,100,100,0.34,5147,10,Sushil Budhia,2.42,4.95,1.6,1.94,1.47,3,Nippon India Mutual Fund,4,Debt,Short Duration Funds,4.3,6.7,7.2
Nippon India Small Cap Fund,100,5000,0.86,23910,10,Samir Rachh,4.2,10.01,19.31,0.89,2.06,6,Nippon India Mutual Fund,4,Equity,Small Cap Mutual Funds,8.7,47.6,16.8
Nippon India Strategic Debt Fund,100,5000,1.4,151,9,Sushil Budhia,2.12,4.14,8.43,0.16,0.5,6,Nippon India Mutual Fund,2,Debt,Medium Duration Funds,2.7,8.3,-0.9
Nippon India Tax Saver (ELSS) Fund,500,500,1.18,11210,10,Rupesh Patel,2.75,0.53,17.25,0.98,1.37,6,Nippon India Mutual Fund,1,Equity,ELSS Mutual Funds,1.8,27.3,6.5
Nippon India US Equity Opportunities Fund,100,100,1.22,534,8,Kinjal Desai,1.33,-,19.57,-,0.67,6,Nippon India Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,1.7,32.4,13.3
Nippon India USD Fund,100,100,0.38,5114,10,Vivek Sharma,3.13,3.47,1.79,0.53,1.54,3,Nippon India Mutual Fund,5,Debt,Ultra Short Duration Funds,5.9,7,5.9
Nippon India Value Fund,100,500,1.21,4641,10,Meenakshi Dawar,3.34,4.25,16.97,0.97,1.54,6,Nippon India Mutual Fund,3,Equity,Value Funds,0,30.3,12.2
Nippon India Vision Fund,100,5000,1.55,3024,10,Amar Kalkundrikar,3.41,2.62,15.86,0.91,1.48,6,Nippon India Mutual Fund,1,Equity,Large & Mid Cap Funds,2.1,27.4,9.3
Parag Parikh Flexi Cap Fund,1000,1000,0.75,29953,10,Rajeev Thakkar,3.06,10.65,14.53,0.7,1.86,6,PPFAS Mutual Fund,5,Equity,Flexi Cap Funds,2.3,33.6,17.6
Parag Parikh Liquid Fund,1000,5000,0.17,1456,5,Raj Mehta,0.59,0.87,0.34,0.62,0.13,2,PPFAS Mutual Fund,1,Debt,Liquid Mutual Funds,5.3,4,
Parag Parikh Tax Saver Fund,1000,500,0.8,1147,4,Rajeev Thakkar,4.17,12.64,12.88,0.62,2.11,6,PPFAS Mutual Fund,5,Equity,ELSS Mutual Funds,8,33,
PGIM India Arbitrage Fund,1000,5000,0.33,168,9,Utkarsh Katkoria,0.85,1.06,0.7,0.41,0.73,1,PGIM India Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.3,4.5,5.2
PGIM India Banking&PSU Debt Fund,1000,5000,0.25,53,10,Puneet Pal,2.06,3.87,1.73,1.62,0.99,2,PGIM India Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.1,6.4,7.1
PGIM India Corporate Bond Fund,1000,5000,0.29,49,10,Puneet Pal,2.99,1.95,1.74,0.58,1.21,2,PGIM India Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.3,6.8,6.9
PGIM India Dynamic Bond Fund,1000,5000,0.36,135,10,Puneet Pal,0.89,1.08,1.93,0.85,0.68,2,PGIM India Mutual Fund,3,Debt,Dynamic Bond,4.6,5.7,7.4
PGIM India Elss Tax Saver Fund,500,500,1,451,7,Srinivas Rao Ravuri,3.32,4.67,16.01,0.92,1.64,6,PGIM India Mutual Fund,4,Equity,ELSS Mutual Funds,2.9,31.8,13.7
PGIM India Equity Savings Fund,1000,5000,0.42,143,10,Anandha Padmanabhan Anjen,4.61,4.09,4.51,0.6,1.86,2,PGIM India Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,4.3,12.6,8
PGIM India Flexi Cap Fund,1000,100,0.4,5199,8,Aniruddha Naha,3.13,5.27,17.81,0.99,1.6,6,PGIM India Mutual Fund,5,Equity,Flexi Cap Funds,-2.3,34,15.7
PGIM India GEO Fund,1000,5000,1.44,1336,10,Rahul Jagwani,1.01,-,25.79,-,0.55,6,PGIM India Mutual Fund,0,Other,FoFs Overseas,-7.9,18.9,14.1
PGIM India Gilt Fund,1000,5000,0.39,135,10,Puneet Pal,0.74,0.65,2.16,0.47,0.54,3,PGIM India Mutual Fund,3,Debt,Gilt Mutual Funds,4.2,5.3,7
PGIM India Hybrid Equity Fund,1000,5000,0.68,217,10,Vivek Sharma,2.6,2.02,12.12,0.78,1.35,6,PGIM India Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,4,20.6,9
PGIM India Large Cap Fund,1000,5000,0.98,427,10,Srinivas Rao Ravuri,2.87,-0.62,15.14,0.89,1.28,6,PGIM India Mutual Fund,2,Equity,Large Cap Mutual Funds,4.7,24.1,10.9
PGIM India Liquid Fund,1000,100,0.17,809,10,Puneet Pal,4.88,1.42,0.38,0.76,1.07,2,PGIM India Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.4,5.4
PGIM India Low Duration Fund,1000,5000,0.35,97,10,Puneet Pal,0.05,0.46,1.43,0.27,0.07,2,PGIM India Mutual Fund,1,Debt,Low Duration Funds,5.5,4.3,2
PGIM India Midcap Opportunities Fund,1000,5000,0.46,7707,9,Aniruddha Naha,4.61,6.9,18.52,0.97,1.92,6,PGIM India Mutual Fund,5,Equity,Mid Cap Mutual Funds,2,42.9,19
PGIM India Money Market Fund,1000,5000,0.15,235,3,Puneet Pal,5.23,2.48,0.5,1.14,1.92,2,PGIM India Mutual Fund,4,Debt,Money Market Funds,5.7,5.1,
PGIM India Overnight Fund,1000,100,0.12,75,4,Puneet Pal,0.95,0.67,0.33,0.46,0.16,1,PGIM India Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
PGIM India Short Duration Fund,1000,5000,0.5,29,10,Puneet Pal,2.05,3.73,1.49,1.62,1.04,2,PGIM India Mutual Fund,3,Debt,Short Duration Funds,4.5,6.3,4.6
PGIM India Ultra Short Duration Fund,1000,25000,0.25,405,10,Puneet Pal,4.43,2.45,0.53,1.08,1.9,2,PGIM India Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.2,7.3
Quant Absolute Fund,1000,5000,0.56,1013,10,Sanjeev Sharma,3.75,16.98,14.41,0.73,2.12,6,Quant Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,7.3,38.2,19.1
Quant Active Fund,1000,5000,0.58,3531,10,Sanjeev Sharma,3.33,13.82,19.65,0.97,1.87,6,Quant Mutual Fund,0,Equity,Multi Cap Funds,1,45.5,19.9
Quant Flexi Cap Fund,1000,5000,0.58,1044,10,Vasav Sahgal,3.65,15.93,19.16,0.91,1.94,6,Quant Mutual Fund,5,Equity,Flexi Cap Funds,6.8,47.7,18.2
Quant Focused Fund,1000,5000,0.57,219,10,Sanjeev Sharma,3.14,8.6,17.34,0.85,1.61,6,Quant Mutual Fund,5,Equity,Focused Funds,5.2,33.7,13.1
Quant Infrastructure Fund,1000,5000,0.64,822,10,Vasav Sahgal,3.44,27.24,19.24,0.53,2.3,6,Quant Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,5.6,61.5,21.1
Quant Large and Mid Cap Fund,1000,5000,0.56,652,10,Sanjeev Sharma,3.12,6.57,17.72,0.88,1.51,6,Quant Mutual Fund,5,Equity,Large & Mid Cap Funds,6.9,33,14.2
Quant Liquid Plan – Direct Growth,1000,5000,0.29,1561,10,Sanjeev Sharma,8.6,1.58,0.27,0.47,3.52,2,Quant Mutual Fund,5,Debt,Liquid Mutual Funds,5.6,4.9,5.9
Quant Mid Cap Fund,1000,5000,0.63,1550,10,Sanjeev Sharma,3.58,11.21,18.73,0.86,1.95,6,Quant Mutual Fund,5,Equity,Mid Cap Mutual Funds,8.8,45.1,19.8
Quant Multi Asset Fund,1000,5000,0.56,634,10,Vasav Sahgal,3.23,19.52,18.63,0.75,1.79,6,Quant Mutual Fund,5,Hybrid,Multi Asset Allocation Mutual Funds,10.6,42.6,20.5
Quant Small Cap Fund,1000,5000,0.64,3301,10,Sanjeev Sharma,3.71,19.16,24.75,0.99,2.11,6,Quant Mutual Fund,5,Equity,Small Cap Mutual Funds,5.4,71.4,23.2
Quant Tax Plan- Direct Growth,500,500,0.57,2779,10,Vasav Sahgal,3.5,17.63,19.74,0.96,2.03,6,Quant Mutual Fund,5,Equity,ELSS Mutual Funds,0.9,54.9,22.2
Quantum Dynamic Bond Fund,500,500,0.61,85,8,Pankaj Pathak,1.05,0.93,1.77,0.83,0.66,3,Quantum Mutual Fund,3,Debt,Dynamic Bond,5.4,5.9,6.9
Quantum Equity Fund,500,500,0.51,88,14,Chirag Mehta,3.01,-0.78,14.75,0.86,1.32,6,Quantum Mutual Fund,2,Other,FoFs Domestic,-0.5,22.9,9.1
Quantum Gold Savings Fund,500,500,0.06,83,12,Chirag Mehta,0.98,-0.98,13.78,0.99,0.44,5,Quantum Mutual Fund,1,Other,FoFs Domestic,14.3,11.7,13
Quantum Liquid Fund,500,5000,0.15,628,17,Pankaj Pathak,0.92,0.94,0.36,0.65,0.19,1,Quantum Mutual Fund,2,Debt,Liquid Mutual Funds,5.4,4,4.9
Quantum Long Term Equity Value Fund,500,500,1.29,837,17,George Thomas,3,2.04,15.72,0.9,1.42,6,Quantum Mutual Fund,2,Equity,Value Funds,2.4,26.5,8.8
Quantum Multi Asset Fund,500,500,0.1,49,11,Chirag Mehta,3.12,0.61,6.73,0.42,1.24,4,Quantum Mutual Fund,3,Other,FoFs Domestic,5.5,12.4,8.1
Quantum Tax Saving Fund,500,500,1.29,115,14,Christy Mathai,3.04,1.68,15.47,0.88,1.44,6,Quantum Mutual Fund,3,Equity,ELSS Mutual Funds,2.9,26.6,8.9
SBI Arbitrage Opportunities Fund,500,5000,0.36,8800,10,Neeraj Kumar,0.93,1.18,0.76,0.45,0.77,1,SBI Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.8,4.5,5.4
SBI Banking & Financial Services Fund,500,5000,0.78,3747,8,Milind Agrawal,1.98,0.4,22.28,0.85,0.95,6,SBI Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,5.5,22.4,12.5
SBI Banking and PSU Fund,500,5000,0.35,4982,10,Rajeev Radhakrishnan,1.17,4.72,2.06,2.4,0.73,3,SBI Mutual Fund,2,Debt,Banking and PSU Mutual Funds,3.8,6.2,7
SBI BlueChip Fund,500,5000,0.9,33987,10,Sohini Andani,3.98,1.08,16.39,0.96,1.39,6,SBI Mutual Fund,3,Equity,Large Cap Mutual Funds,4.2,27,11.4
SBI Conservative Hybrid Fund,500,5000,0.57,7250,10,Saurabh Pant,4.24,5.19,4.11,0.56,2.23,5,SBI Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,6.2,13.8,8.8
SBI Consumption Opportunities Fund,500,5000,1.18,1185,10,Saurabh Pant,3.65,10.04,15.53,0.76,1.77,6,SBI Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,11.1,31,12.7
SBI Contra Fund,500,5000,0.91,8340,10,Dinesh Balachandran,4.43,15.26,16.56,0.89,2.13,6,SBI Mutual Fund,5,Equity,Contra Funds,15,43.4,15.6
SBI Corporate Bond Fund,500,5000,0.34,16551,4,Rajeev Radhakrishnan,1.54,1.51,1.88,0.75,0.92,2,SBI Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.1,6.4,
SBI Credit Risk Fund,500,10000,0.92,2782,10,Lokesh Mallya,2.05,2.96,1.82,0.17,1.5,5,SBI Mutual Fund,3,Debt,Credit Risk Funds,5.2,7.2,7
SBI Dynamic Bond Fund,500,5000,0.87,2407,10,Dinesh Ahuja,0.88,1.34,2.49,1.06,0.66,3,SBI Mutual Fund,4,Debt,Dynamic Bond,5.9,5.9,7.9
SBI Equity Hybrid Fund,500,1000,0.79,54492,10,R Srinivasan,2.77,0.1,11.8,0.79,1.25,6,SBI Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,-1.9,18.4,10.8
SBI Equity Minimum Variance – Direct Growth,500,5000,0.42,134,4,Raviprakash Sharma,3.09,2.72,14.84,0.81,1.47,6,SBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,4.9,27,
SBI Equity Savings Fund,500,1000,0.67,2264,8,Neeraj Kumar,3.49,2.91,6.94,1.02,1.47,4,SBI Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,2.2,14.6,8.1
SBI Flexi Cap Fund,500,1000,0.85,15602,10,R Srinivasan,3.25,0.62,15.31,0.88,1.4,6,SBI Mutual Fund,3,Equity,Flexi Cap Funds,-1,25.2,11
SBI Floating Rate Debt Fund,500,5000,0.26,1604,2,Rajeev Radhakrishnan,-,-,-,-,-,2,SBI Mutual Fund,3,Debt,Floater Mutual Funds,5,,
SBI FMP – Series 1 (3668 Days) – Direct Growth,0,5000,0,40,4,Ranjana Gupta,1,9.3,3.62,5.09,0.69,3,SBI Mutual Fund,0,Debt,Fixed Maturity Plans,4.8,6.2,
SBI Focused Equity Fund,500,5000,0.69,26561,10,R Srinivasan,2.61,-0.62,15.84,0.81,1.17,6,SBI Mutual Fund,3,Equity,Focused Funds,-4.9,22,12.2
SBI Gold Fund,500,5000,0.1,1265,10,Raviprakash Sharma,0.95,-0.94,13.62,0.98,0.44,6,SBI Mutual Fund,3,Other,FoFs Domestic,14.8,11.9,13.4
SBI Healthcare Opportunities Fund,500,5000,1.09,1574,10,Tanmaya Desai,2.12,4.45,19.03,0.87,1.09,6,SBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-1.6,25.7,13.6
SBI Infrastructure Fund,500,5000,1.88,927,10,Bhavin Vithiani,4,10.52,16.14,0.57,1.79,6,SBI Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,12.8,33.5,13
SBI Large & Midcap Fund,500,5000,0.99,9441,10,Saurabh Pant,3.24,6.49,16.04,0.89,1.67,6,SBI Mutual Fund,5,Equity,Large & Mid Cap Funds,6.5,30.2,13.6
SBI Liquid Fund,500,500,0.18,57052,10,R Arun,4.07,1.35,0.38,0.76,0.88,2,SBI Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3
SBI Long Term Advantage Fund,0,500,1.75,164,6,R Srinivasan,3.93,12.2,18.27,0.87,1.79,4,SBI Mutual Fund,0,Equity,ELSS Mutual Funds,0.1,43.3,19.5
SBI Long Term Advantage Fund,0,500,1.76,57,7,R Srinivasan,3.71,10.16,15.74,0.83,1.9,4,SBI Mutual Fund,0,Equity,ELSS Mutual Funds,1.1,36.2,15.4
SBI Long Term Advantage Fund,0,500,1.76,30,8,R Srinivasan,3.76,9.72,15.74,0.83,1.85,4,SBI Mutual Fund,0,Equity,ELSS Mutual Funds,0.5,35.5,14.5
SBI Long Term Advantage Fund,0,500,1.76,36,8,R Srinivasan,3.69,10.17,15.98,0.84,1.87,4,SBI Mutual Fund,0,Equity,ELSS Mutual Funds,1,36.4,14
SBI Long Term Advantage Fund,0,500,1.76,222,5,R Srinivasan,3.73,4.52,15.18,0.84,1.61,4,SBI Mutual Fund,0,Equity,ELSS Mutual Funds,4.5,28.2,
SBI Long Term Advantage Fund,0,500,1.76,278,5,R Srinivasan,3.18,-0.17,15.54,0.88,1.32,4,SBI Mutual Fund,0,Equity,ELSS Mutual Funds,-2.7,25.1,
SBI Long Term Equity Fund,500,500,1.07,12158,10,Dinesh Balachandran,3.21,3.78,15.64,0.9,1.59,6,SBI Mutual Fund,3,Equity,ELSS Mutual Funds,8.7,30.1,11.6
SBI Magnum Children’s Benefit Fund,500,5000,0.86,89,10,Rajeev Radhakrishnan,3.92,6.29,6.03,0.57,1.72,4,SBI Mutual Fund,4,Solution Oriented,Childrens Funds,3.1,15.2,8.3
SBI Magnum Comma Fund,500,5000,2.03,417,10,Richard Dsouza,2.37,1.41,21.13,1.06,1.24,6,SBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-12.1,30.9,11.3
SBI Magnum Equity ESG Fund,500,1000,1.35,4456,10,Rohit Shimpi,2.88,-0.26,15.89,0.92,1.29,6,SBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-2.7,24.2,12.2
SBI Magnum Gilt Fund,500,5000,0.46,4301,10,Dinesh Ahuja,1.1,1.45,2.66,0.53,0.77,3,SBI Mutual Fund,5,Debt,Gilt Mutual Funds,5.7,6.1,8.3
SBI Magnum Global Fund,500,5000,1.25,5257,10,R Srinivasan,2.42,3.66,13.28,0.64,1.42,6,SBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,1.6,24.1,11.5
SBI Magnum Income Fund,500,5000,0.8,1510,10,Dinesh Ahuja,1.56,1.92,2.35,1.04,0.94,4,SBI Mutual Fund,4,Debt,Medium to Long Duration Funds,4.8,6.9,7.8
SBI Magnum Low Duration Fund,500,5000,0.4,7717,10,Rajeev Radhakrishnan,3.47,3.11,0.8,1.37,1.58,3,SBI Mutual Fund,3,Debt,Low Duration Funds,5.2,5.6,6.4
SBI Magnum Medium Duration Fund,500,5000,0.69,7087,10,Dinesh Ahuja,2.05,2.34,2.19,0.87,1.18,4,SBI Mutual Fund,4,Debt,Medium Duration Funds,4.6,7.2,7.9
SBI Magnum Midcap Fund,500,5000,0.97,8732,10,Sohini Andani,3.93,5.5,17.15,0.91,1.89,6,SBI Mutual Fund,4,Equity,Mid Cap Mutual Funds,6.4,37,13.5
SBI Magnum Ultra Short Duration Fund,2000,5000,0.31,8907,10,R Arun,3.14,2.47,0.58,1.2,1.49,2,SBI Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,5.1,6.1
SBI Multi Asset Allocation Fund,500,5000,0.88,609,10,Dinesh Balachandran,2.98,2.18,8.2,0.48,1.35,6,SBI Mutual Fund,3,Hybrid,Multi Asset Allocation Mutual Funds,5.9,16.1,9.6
SBI Nifty Index Fund,500,5000,0.18,3324,10,Raviprakash Sharma,3.47,-0.69,16.8,1,1.31,6,SBI Mutual Fund,3,Other,Index Funds,0.9,26,11.8
SBI Overnight Fund,2000,5000,0.1,19888,10,R Arun,-0.25,0.56,0.35,0.43,-0.05,1,SBI Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,4.6
